company,career_mentions,current_mentions,product_industry_ratio,service_industry_ratio,target_title_ratio,evidence_ratio,avg_title_score,avg_evidence_score,avg_core_skills,product_likelihood_score,service_likelihood_score,suggested_product_company,suggested_service_company,top_career_industries,top_current_industries
Meesho,384,186,1.0,0.0,0.1458,1.0,7.8542,5.0396,2.8047,80.3146,0.0,True,False,E-commerce:384,E-commerce:186
Paytm,343,161,1.0,0.0,0.1458,1.0,7.7711,5.2988,2.7784,80.1924,0.0,True,False,Fintech:343,Fintech:161
Unacademy,341,135,1.0,0.0,0.1437,1.0,7.7229,4.9754,2.8592,80.1472,0.0,True,False,EdTech:341,EdTech:135
Zoho,352,165,1.0,0.0,0.1335,1.0,7.6832,5.008,2.8295,79.8216,0.0,True,False,SaaS:352,SaaS:165
BYJU'S,355,157,1.0,0.0,0.1408,1.0,7.5282,5.0023,2.8085,79.8017,0.0,True,False,EdTech:355,EdTech:157
Dream11,329,149,1.0,0.0,0.1307,1.0,7.6854,5.1687,2.8723,79.7878,0.0,True,False,Gaming:329,Gaming:149
InMobi,376,172,1.0,0.0,0.1356,1.0,7.5718,4.9838,2.8378,79.7473,0.0,True,False,AdTech:376,AdTech:172
Freshworks,338,163,1.0,0.0,0.1183,1.0,7.6731,4.9506,2.784,79.3935,0.0,True,False,SaaS:338,SaaS:163
Nykaa,378,172,1.0,0.0,0.119,1.0,7.4537,5.073,2.7989,79.1598,0.0,True,False,E-commerce:378,E-commerce:172
PhonePe,336,144,1.0,0.0,0.0982,1.0,7.433,4.767,2.5446,78.4107,0.0,True,False,Fintech:336,Fintech:144
Apple,8,2,0.0,0.0,1.0,1.0,18.75,23.5125,8.625,74.4,20.0,False,False,Consumer Electronics:8,Consumer Electronics:2
Netflix,13,6,0.0,0.0,1.0,1.0,18.3077,19.9,8.4615,73.7385,20.0,True,False,Media:13,Media:6
Uber,11,1,0.0,0.0,1.0,1.0,18.3636,21.7727,7.6364,73.1455,20.0,True,False,Transportation:11,Transportation:1
CRED,2908,1257,1.0,0.0,0.0199,1.0,3.055,4.5826,1.4477,70.3228,0.0,True,False,Fintech:2908,Fintech:1257
Swiggy,3019,1288,1.0,0.0,0.0172,1.0,3.0883,4.5525,1.418,70.271,0.0,True,False,Food Delivery:3019,Food Delivery:1288
Flipkart,2882,1171,1.0,0.0,0.0191,1.0,3.0085,4.5977,1.4493,70.2468,0.0,True,False,E-commerce:2882,E-commerce:1171
Razorpay,2926,1246,1.0,0.0,0.0181,1.0,3.0079,4.5539,1.4433,70.2169,0.0,True,False,Fintech:2926,Fintech:1246
Zomato,2883,1226,1.0,0.0,0.016,1.0,2.9924,4.5069,1.4523,70.1516,0.0,True,False,Food Delivery:2883,Food Delivery:1226
Saarthi.ai,68,31,0.0,0.0,0.6912,1.0,11.6176,9.6662,5.1765,55.3618,20.0,True,False,Voice AI:68,Voice AI:31
Pied Piper,23614,7500,1.0,0.0,0.0,0.8124,-9.5414,2.4187,1.0906,50.6708,0.0,True,False,Software:23614,Software:7500
Hooli,23509,7378,1.0,0.0,0.0,0.8151,-9.5904,2.4098,1.066,50.647,0.0,True,False,Software:23509,Software:7378
Initech,23590,7528,1.0,0.0,0.0,0.8125,-9.578,2.3997,1.0503,50.5968,0.0,True,False,Software:23590,Software:7528
PolicyBazaar,355,155,0.0,0.0,0.1408,1.0,7.6817,4.9966,2.8254,34.9994,20.0,True,False,Insurance Tech:355,Insurance Tech:155
PharmEasy,339,147,0.0,0.0,0.1209,1.0,7.5133,4.7912,2.7286,34.2224,20.0,True,False,HealthTech:339,HealthTech:147
Ola,353,161,0.0,0.0,0.1133,1.0,7.5907,5.2062,2.8074,34.1875,20.0,True,False,Transportation:353,Transportation:161
Stark Industries,23524,7323,0.0,0.0,0.0,0.8146,-9.4672,2.4241,1.0741,5.791,20.0,False,False,Manufacturing:23524,Manufacturing:7323
Globex Inc,23471,7492,0.0,0.0,0.0,0.8123,-9.5638,2.4042,1.0638,5.6209,20.0,False,False,Manufacturing:23471,Manufacturing:7492
Acme Corp,23546,7490,0.0,0.0,0.0,0.813,-9.5798,2.405,1.0681,5.6197,20.0,False,False,Manufacturing:23546,Manufacturing:7490
Wayne Enterprises,23556,7571,0.0,0.0,0.0,0.8139,-9.6159,2.4081,1.0724,5.5975,20.0,False,False,Conglomerate:23556,Conglomerate:7571
Dunder Mifflin,23416,7467,0.0,0.0,0.0,0.8131,-9.5949,2.395,1.0534,5.5903,20.0,False,False,Paper Products:23416,Paper Products:7467
Tech Mahindra,2837,1168,0.0,1.0,0.0134,1.0,2.9935,4.4719,1.411,-9.9442,90.0,False,True,IT Services:2837,IT Services:1168
HCL,2894,1250,0.0,1.0,0.0131,1.0,2.9248,4.4779,1.4378,-10.0117,90.0,False,True,IT Services:2894,IT Services:1250
Mphasis,2822,1153,0.0,1.0,0.0,1.0,2.8822,4.4266,1.3434,-10.4667,90.0,False,True,IT Services:2822,IT Services:1153
Capgemini,2895,1265,0.0,1.0,0.0,1.0,2.866,4.4218,1.3434,-10.4861,90.0,False,True,IT Services:2895,IT Services:1265
Mindtree,2879,1225,0.0,1.0,0.0,1.0,2.8367,4.4181,1.3251,-10.5358,90.0,False,True,IT Services:2879,IT Services:1225
Cognizant,2863,1213,0.0,1.0,0.0,1.0,2.8171,4.4353,1.3426,-10.5453,90.0,False,True,IT Services:2863,IT Services:1213
Accenture,2871,1274,0.0,1.0,0.0,1.0,2.8337,4.3836,1.3163,-10.5466,90.0,False,True,Consulting:2871,Consulting:1274
Wipro,23682,7566,0.0,1.0,0.0018,0.8106,-9.4903,2.4292,1.1046,-29.2488,90.0,False,True,IT Services:23682,IT Services:7566
Infosys,23722,7590,0.0,1.0,0.0014,0.8155,-9.5395,2.4116,1.0322,-29.2762,90.0,False,True,IT Services:23722,IT Services:7590
TCS,23483,7451,0.0,1.0,0.0016,0.8119,-9.5239,2.4141,1.0585,-29.3052,90.0,False,True,IT Services:23483,IT Services:7451
